course_id,title,category,instructor,avg_rating,is_premium,duration_hours
C00001,Design Fundamentals 1,Programming,Eka Wijaya,3.69,False,38
C00002,Marketing Fundamentals 2,Marketing,Bima Santoso,4.39,False,8
C00003,Programming Fundamentals 3,Data Science,Citra Dewi,4.52,True,15
C00004,Programming Fundamentals 4,Data Science,Eka Wijaya,4.86,True,24
C00005,Marketing Fundamentals 5,Business,Dimas Pratama,4.33,False,18
C00006,Design Fundamentals 6,Marketing,Citra Dewi,4.15,True,2
C00007,Programming Fundamentals 7,Business,Citra Dewi,4.57,False,11
C00008,Marketing Fundamentals 8,Programming,Eka Wijaya,4.53,False,2
C00009,Business Fundamentals 9,Data Science,Alya Putri,3.75,False,36
C00010,Programming Fundamentals 10,Marketing,Eka Wijaya,4.95,True,20
C00011,Marketing Fundamentals 11,Design,Citra Dewi,4.62,False,36
C00012,Programming Fundamentals 12,Data Science,Alya Putri,4.49,True,30
C00013,Marketing Fundamentals 13,Data Science,Alya Putri,3.92,True,30
C00014,Programming Fundamentals 14,Design,Bima Santoso,4.38,True,24
C00015,Programming Fundamentals 15,Design,Dimas Pratama,4.31,False,27
C00016,Design Fundamentals 16,Marketing,Dimas Pratama,4.26,True,4
C00017,Data Science Fundamentals 17,Marketing,Eka Wijaya,4.11,False,5
C00018,Programming Fundamentals 18,Design,Dimas Pratama,4.78,False,8
C00019,Programming Fundamentals 19,Marketing,Dimas Pratama,4.03,True,10
C00020,Data Science Fundamentals 20,Programming,Dimas Pratama,3.89,False,31
C00021,Business Fundamentals 21,Marketing,Dimas Pratama,4.93,True,40
C00022,Business Fundamentals 22,Data Science,Eka Wijaya,4.63,False,38
C00023,Design Fundamentals 23,Business,Alya Putri,4.22,False,36
C00024,Marketing Fundamentals 24,Business,Bima Santoso,3.61,False,2
C00025,Business Fundamentals 25,Data Science,Eka Wijaya,3.97,True,37
C00026,Data Science Fundamentals 26,Business,Dimas Pratama,3.76,False,7
C00027,Data Science Fundamentals 27,Data Science,Eka Wijaya,4.78,False,19
C00028,Business Fundamentals 28,Design,Citra Dewi,4.45,True,31
C00029,Marketing Fundamentals 29,Business,Citra Dewi,3.56,True,22
C00030,Design Fundamentals 30,Programming,Alya Putri,4.52,True,12
C00031,Data Science Fundamentals 31,Business,Dimas Pratama,4.73,True,9
