learner_id,course_id,activity_type,study_duration_minutes,activity_date
L00090,C00330,enroll,168,2026-03-24
L00631,C00060,skip,162,2025-11-30
L00264,C00323,add_to_wishlist,60,2026-08-08
L00461,C00462,enroll,121,2026-05-28
L00848,C00475,complete,111,2026-08-03
L00977,C00364,add_to_wishlist,214,2026-03-31
L00071,C00268,enroll,29,2026-03-30
L00605,C00350,add_to_wishlist,172,2026-07-11
L00367,C00361,like,92,2025-10-07
L00633,C00278,enroll,211,2026-04-07
L00826,C00294,skip,240,2025-11-26
L00719,C00357,complete,201,2026-01-04
L00388,C00278,add_to_wishlist,198,2026-02-10
L00240,C00322,complete,4,2026-01-30
L00492,C00185,skip,78,2026-01-26
L00992,C00040,complete,87,2026-02-27
L00428,C00014,complete,54,2026-04-17
L00199,C00457,like,70,2025-11-03
L00807,C00054,like,43,2026-07-03
L00449,C00231,enroll,189,2025-11-29
L00618,C00217,complete,219,2026-04-13
L00296,C00360,add_to_wishlist,86,2026-07-29
L00712,C00315,add_to_wishlist,27,2025-10-23
L00146,C00089,enroll,198,2026-03-23
L00890,C00309,like,32,2026-07-28
L00253,C00134,skip,101,2026-08-10
L00966,C00260,like,92,2026-03-05
L00416,C00405,add_to_wishlist,90,2026-03-14
L00675,C00380,skip,207,2026-08-25
L00374,C00108,complete,166,2025-11-19
L00270,C00209,complete,135,2026-08-25
L00814,C00397,add_to_wishlist,98,2025-09-19
L00965,C00144,enroll,158,2026-06-04
L00275,C00327,like,109,2026-06-25
L00038,C00400,enroll,98,2026-07-04
L00134,C00004,add_to_wishlist,183,2025-10-28
L00711,C00176,enroll,21,2025-12-27
L00111,C00114,complete,121,2026-07-21
L00078,C00229,like,201,2025-12-14
L00930,C00156,skip,154,2026-08-07
L00899,C00439,complete,233,2026-04-22
L00014,C00067,enroll,68,2026-06-19
L00313,C00303,add_to_wishlist,179,2026-07-05
L00818,C00280,complete,143,2026-07-24
L00950,C00146,add_to_wishlist,50,2026-07-01
L00710,C00081,like,118,2026-02-23
L00469,C00209,like,53,2025-12-31
L00706,C00324,like,139,2026-08-08
L00806,C00445,add_to_wishlist,85,2026-08-15
L00228,C00198,like,195,2026-06-12
L00460,C00334,like,135,2026-08-26
L00119,C00231,add_to_wishlist,130,2026-06-04
L00237,C00247,like,226,2025-09-22
L00132,C00327,skip,168,2026-01-23
L00258,C00314,complete,125,2025-09-27
L00129,C00104,add_to_wishlist,49,2026-06-04
L00665,C00147,add_to_wishlist,136,2025-10-25
L00364,C00352,enroll,82,2026-01-17
L00183,C00474,add_to_wishlist,217,2026-02-05
L00461,C00467,skip,8,2026-08-25
L00594,C00298,skip,229,2026-07-05
L00973,C00221,skip,25,2026-03-11
L00440,C00221,add_to_wishlist,44,2026-03-29
L00724,C00363,like,114,2026-01-30
L00153,C00457,add_to_wishlist,104,2025-10-04
L00457,C00369,like,32,2026-06-13
L00231,C00424,complete,73,2026-01-29
L00114,C00263,skip,108,2025-12-19
L00269,C00085,add_to_wishlist,67,2026-02-05
L00413,C00120,skip,125,2026-06-12
L00119,C00200,add_to_wishlist,172,2025-09-15
L00725,C00074,add_to_wishlist,146,2026-04-16
L00800,C00117,enroll,95,2026-07-21
L00256,C00449,enroll,7,2025-09-04
L00019,C00450,add_to_wishlist,159,2025-12-20
L00094,C00152,enroll,157,2025-10-26
L00353,C00305,like,102,2026-02-26
L00117,C00027,like,66,2026-05-21
L00528,C00467,complete,55,2025-11-12
L00161,C00111,enroll,35,2025-09-10
L00914,C00342,add_to_wishlist,43,2026-03-17
L00651,C00489,complete,109,2026-07-25
L00011,C00356,add_to_wishlist,146,2025-12-13
L00310,C00159,complete,104,2026-04-03
L00914,C00296,enroll,77,2026-05-07
L00580,C00210,like,184,2025-10-25
L00214,C00499,complete,61,2026-04-02
L00628,C00368,skip,44,2026-01-04
L00767,C00246,add_to_wishlist,9,2026-02-08
L00280,C00069,like,7,2026-01-27
L00771,C00484,complete,7,2026-06-24
L00301,C00361,like,11,2026-03-24
L00244,C00112,complete,64,2026-07-26
L00919,C00419,enroll,132,2026-01-02
L00666,C00003,like,64,2026-03-21
L00675,C00134,complete,22,2026-04-29
L00208,C00372,enroll,141,2025-10-13
L00878,C00322,skip,43,2026-03-17
L00427,C00325,enroll,63,2026-02-13
L00575,C00330,complete,193,2025-12-06
L00257,C00123,add_to_wishlist,80,2026-08-25
L00540,C00273,complete,183,2026-07-21
L00490,C00340,like,128,2026-07-03
L00965,C00115,like,164,2026-04-25
L00370,C00373,enroll,98,2026-04-17
L00404,C00418,like,43,2026-07-23
L00173,C00453,like,95,2026-03-15
L00414,C00260,enroll,96,2025-10-01
L00656,C00122,like,170,2026-05-15
L00780,C00119,add_to_wishlist,42,2026-08-23
L00031,C00259,like,132,2026-03-26
L00051,C00458,add_to_wishlist,41,2026-04-10
L00013,C00362,enroll,19,2025-09-23
L00993,C00230,like,134,2025-09-21
L00571,C00299,add_to_wishlist,105,2025-10-02
L00045,C00007,add_to_wishlist,39,2025-11-21
L00870,C00116,like,233,2025-11-26
L00492,C00228,add_to_wishlist,90,2026-03-02
L00839,C00021,enroll,53,2026-02-05
L00316,C00261,skip,133,2026-03-29
L00408,C00413,enroll,24,2026-08-26
L00924,C00355,like,150,2026-05-25
L00576,C00082,like,227,2026-02-10
L00296,C00011,enroll,166,2025-12-24
L00832,C00107,complete,137,2026-07-17
L00634,C00285,enroll,91,2026-05-22
L00191,C00384,add_to_wishlist,95,2026-08-14
L00510,C00097,complete,43,2026-01-17
L00645,C00126,enroll,236,2025-09-29
L00809,C00467,add_to_wishlist,174,2026-01-05
L00973,C00362,complete,211,2025-10-20
L00574,C00278,like,13,2026-04-01
L00064,C00362,enroll,206,2026-02-22
L00253,C00459,skip,176,2026-05-10
L00917,C00344,complete,107,2025-10-25
L00474,C00042,enroll,68,2026-08-27
L00220,C00205,add_to_wishlist,217,2026-09-01
L00682,C00048,like,166,2026-04-29
L00032,C00142,enroll,226,2026-02-04
L00527,C00084,add_to_wishlist,144,2026-03-20
L00727,C00057,enroll,161,2025-09-22
L00966,C00174,add_to_wishlist,239,2026-07-30
L00775,C00088,like,229,2025-12-28
L00472,C00003,skip,5,2026-04-19
L00432,C00048,skip,183,2026-07-21
L00242,C00265,skip,1,2025-11-29
L00736,C00333,add_to_wishlist,174,2025-12-24
L00326,C00185,add_to_wishlist,83,2025-11-17
L00294,C00408,add_to_wishlist,39,2026-05-11
L00121,C00092,complete,113,2026-01-08
L00448,C00317,like,211,2026-08-22
L00654,C00269,enroll,115,2025-10-23
L00559,C00116,enroll,182,2026-01-28
L00165,C00110,skip,145,2025-11-17
L00237,C00446,enroll,59,2026-02-28
L00609,C00401,complete,59,2026-04-02
L00372,C00487,like,184,2026-06-22
L00198,C00487,skip,192,2026-02-20
L00333,C00121,enroll,91,2025-11-24
L00375,C00074,like,132,2026-06-03
L00093,C00271,complete,81,2026-04-30
L00675,C00176,enroll,93,2026-07-06
L00602,C00375,enroll,81,2025-10-18
L00478,C00157,complete,114,2025-11-26
L00883,C00476,skip,227,2026-01-11
L00914,C00479,skip,15,2026-04-14
L00778,C00100,complete,11,2025-10-29
L00458,C00099,complete,154,2025-09-16
L00434,C00147,complete,117,2026-05-26
L00160,C00286,complete,218,2026-08-29
L00803,C00492,like,195,2026-01-27
L00376,C00479,complete,44,2026-04-27
L00820,C00295,add_to_wishlist,238,2025-11-13
L00031,C00086,enroll,61,2025-12-08
L00738,C00384,like,175,2025-10-28
L00037,C00027,enroll,229,2026-03-05
L00989,C00174,enroll,105,2026-08-20
L00829,C00176,complete,193,2026-02-28
L00120,C00009,add_to_wishlist,108,2026-02-08
L00025,C00225,skip,19,2025-12-10
L00911,C00202,complete,85,2026-08-11
L00973,C00171,add_to_wishlist,129,2025-09-08
L00295,C00048,enroll,186,2026-01-05
L00772,C00017,complete,4,2026-05-29
L00182,C00119,like,145,2026-03-01
L00010,C00014,skip,123,2026-07-25
L00651,C00119,add_to_wishlist,224,2026-04-25
L00561,C00495,skip,27,2025-09-17
L00166,C00218,complete,240,2025-11-04
L00364,C00246,add_to_wishlist,153,2026-07-12
L00027,C00411,skip,146,2026-03-28
L00321,C00466,enroll,193,2025-11-20
L00317,C00141,add_to_wishlist,229,2025-09-07
L00750,C00260,complete,44,2026-01-17
L00357,C00050,enroll,184,2026-07-07
L00692,C00099,add_to_wishlist,139,2026-06-27
