learner_id,plan,billing_period,amount,status
L00980,Free,monthly,0,cancelled
L00767,Free,monthly,0,active
L00562,Plus,yearly,9.99,expired
L00478,Free,monthly,0,active
L00011,Free,monthly,0,active
L00421,Plus,monthly,9.99,cancelled
L00622,Plus,yearly,9.99,expired
L00288,Free,monthly,0,active
L00376,Plus,monthly,9.99,expired
L00072,Plus,yearly,9.99,active
L00938,Free,yearly,0,expired
L00404,Free,yearly,0,expired
L00199,Free,monthly,0,cancelled
L00114,Pro,monthly,19.99,expired
L00108,Free,yearly,0,expired
L00023,Pro,monthly,19.99,expired
L00538,Plus,monthly,9.99,active
L00816,Free,monthly,0,cancelled
L00824,Free,monthly,0,cancelled
L00080,Free,yearly,0,expired
L00066,Free,yearly,0,expired
L00810,Pro,yearly,19.99,cancelled
L00478,Plus,yearly,9.99,active
L00705,Pro,monthly,19.99,cancelled
L00226,Free,yearly,0,active
L00029,Pro,monthly,19.99,expired
L00569,Pro,monthly,19.99,cancelled
L00082,Pro,yearly,19.99,active
L00092,Free,monthly,0,expired
L00837,Free,monthly,0,cancelled
L00263,Pro,yearly,19.99,active
L00102,Plus,yearly,9.99,expired
L00537,Pro,yearly,19.99,expired
L00349,Pro,monthly,19.99,cancelled
L00924,Free,yearly,0,expired
L00979,Pro,yearly,19.99,expired
L00696,Pro,monthly,19.99,expired
L00137,Plus,monthly,9.99,cancelled
L00085,Plus,yearly,9.99,cancelled
L00873,Pro,yearly,19.99,cancelled
L00176,Free,monthly,0,cancelled
L00811,Plus,monthly,9.99,active
L00961,Free,monthly,0,cancelled
L00020,Pro,yearly,19.99,active
L00101,Pro,yearly,19.99,cancelled
L00781,Pro,yearly,19.99,cancelled
L00142,Free,monthly,0,active
L00161,Pro,monthly,19.99,active
L00184,Pro,monthly,19.99,cancelled
L00617,Pro,yearly,19.99,active
L00498,Plus,yearly,9.99,cancelled
L00114,Free,monthly,0,active
L00039,Free,yearly,0,expired
L00605,Pro,yearly,19.99,active
L00657,Plus,monthly,9.99,active
L00625,Plus,monthly,9.99,active
L00262,Pro,monthly,19.99,cancelled
L00241,Pro,yearly,19.99,expired
L00749,Free,monthly,0,cancelled
L00149,Plus,monthly,9.99,active
L00845,Pro,monthly,19.99,active
L00699,Plus,yearly,9.99,active
L00676,Pro,monthly,19.99,cancelled
L00655,Plus,monthly,9.99,cancelled
L00574,Free,monthly,0,active
L00901,Pro,yearly,19.99,expired
L00942,Pro,monthly,19.99,cancelled
L00178,Free,monthly,0,cancelled
L00384,Free,yearly,0,active
L00885,Pro,yearly,19.99,cancelled
L00442,Plus,yearly,9.99,expired
L00273,Free,monthly,0,cancelled
L00242,Pro,yearly,19.99,active
L00915,Plus,yearly,9.99,active
L00079,Free,yearly,0,active
L00212,Pro,monthly,19.99,expired
L00766,Plus,monthly,9.99,expired
L00842,Free,yearly,0,cancelled
L00137,Free,yearly,0,expired
L00860,Free,monthly,0,cancelled
L00739,Pro,yearly,19.99,expired
L00895,Free,monthly,0,cancelled
L00172,Pro,monthly,19.99,cancelled
L00864,Plus,yearly,9.99,cancelled
L00903,Pro,monthly,19.99,cancelled
L00201,Free,yearly,0,active
L00611,Free,yearly,0,active
L00023,Plus,yearly,9.99,active
L00158,Pro,monthly,19.99,cancelled
L00645,Plus,yearly,9.99,expired
L00043,Free,yearly,0,cancelled
L00830,Pro,monthly,19.99,expired
L00215,Plus,yearly,9.99,cancelled
L00119,Pro,yearly,19.99,expired
L00794,Plus,monthly,9.99,cancelled
L00402,Pro,yearly,19.99,active
L00099,Free,yearly,0,expired
L00095,Free,yearly,0,expired
L00844,Plus,monthly,9.99,active
L00786,Pro,yearly,19.99,active
L00905,Plus,monthly,9.99,cancelled
L00444,Free,monthly,0,cancelled
L00359,Free,yearly,0,cancelled
L00694,Free,monthly,0,expired
L00095,Free,yearly,0,active
L00478,Pro,yearly,19.99,cancelled
L00672,Free,yearly,0,cancelled
L00060,Plus,monthly,9.99,expired
L00913,Free,yearly,0,active
L00498,Free,monthly,0,expired
L00235,Free,yearly,0,cancelled
L00181,Plus,yearly,9.99,cancelled
L00309,Pro,yearly,19.99,active
L00552,Plus,monthly,9.99,cancelled
L00431,Plus,monthly,9.99,cancelled
L00246,Plus,monthly,9.99,cancelled
L00552,Free,monthly,0,active
L00690,Pro,yearly,19.99,expired
L00246,Free,yearly,0,expired
L00495,Pro,yearly,19.99,expired
L00560,Plus,monthly,9.99,expired
L00775,Free,yearly,0,active
L00787,Pro,monthly,19.99,cancelled
L00967,Free,yearly,0,expired
L00299,Free,monthly,0,cancelled
L00487,Free,yearly,0,cancelled
L00671,Plus,yearly,9.99,expired
L00049,Plus,yearly,9.99,expired
L00103,Plus,monthly,9.99,expired
L00496,Pro,monthly,19.99,expired
L00335,Pro,monthly,19.99,active
L00366,Pro,yearly,19.99,active
L00553,Pro,monthly,19.99,active
L00024,Free,monthly,0,active
L00761,Pro,monthly,19.99,active
L00762,Pro,monthly,19.99,expired
L00255,Pro,monthly,19.99,expired
L00591,Pro,yearly,19.99,cancelled
L00294,Free,monthly,0,cancelled
L00932,Pro,yearly,19.99,cancelled
L00350,Free,monthly,0,cancelled
L00268,Pro,monthly,19.99,active
L00169,Pro,yearly,19.99,cancelled
L00453,Free,yearly,0,cancelled
L00704,Free,yearly,0,active
L00887,Plus,yearly,9.99,expired
L00896,Free,monthly,0,expired
L00345,Free,yearly,0,expired
L00101,Plus,monthly,9.99,cancelled
L00913,Free,yearly,0,active
L00292,Plus,monthly,9.99,cancelled
L00021,Free,monthly,0,expired
L00948,Pro,yearly,19.99,expired
L00915,Pro,monthly,19.99,cancelled
L00405,Pro,yearly,19.99,expired
L00531,Pro,yearly,19.99,active
L00618,Free,monthly,0,cancelled
L00281,Pro,yearly,19.99,active
L00418,Free,monthly,0,expired
